category,book,book_id,author,publisher,edition,total_pages,pages_scraped,status,scraped_at,topics,url,file,*تنويه هام,book_index,cat_index,أعده للشاملة,اعتنى به,البحث في,الرابط,الكتاب,المحقق,النص,بحث في محتوى الكتب,تحقيق,تنبيهات هامة,جمع وتحقيق,رواية,شرح وتحقيق,شعر,صنعه,عام النشر,عني بتحقيقه وشرحه,قدم له ووضع هوامشه,لدعم المشروع*,مراجعة,نبذة عن المشروع,نتائج البحث
Unknown,الأدب الصغير والأدب الكبير,7528,,,,,26,partial,11-06-2026 18:03:15 IST,,https://shamela.ws/book/7528,shamela_output/Unknown/الأدب_الصغير_والأدب_الكبير.txt,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,المصاحف لابن أبي داود,13067,,,,,450,partial,11-06-2026 18:22:07 IST,,https://shamela.ws/book/13067,shamela_output/Unknown/المصاحف_لابن_أبي_داود.txt,,,,,,,,,,,,,,,,,,,,,,,,,
العقيدة,متن العقيدة الطحاوية - شرح وتعليق الألباني,9568,,,,,124,complete,11-06-2026 18:40:59 IST,,https://shamela.ws/book/9568,shamela_output/العقيدة/متن_العقيدة_الطحاوية_-_شرح_وتعليق_الألباني.txt,,,,,,,,,,,,,,,,,,,,,,,,,
الأدب,أمثال العرب ت إحسان عباس,1034,,,,,183,partial,11-06-2026 19:48:01 IST,,https://shamela.ws/book/1034,shamela_output/الأدب/أمثال_العرب_ت_إحسان_عباس.txt,,,,,,,,,,,,,,,,,,,,,,,,,
الأدب,أمثال العرب ط الهلال,9081,,,,,155,partial,11-06-2026 19:48:01 IST,,https://shamela.ws/book/9081,shamela_output/الأدب/أمثال_العرب_ط_الهلال.txt,,,,,,,,,,,,,,,,,,,,,,,,,
الأدب,الأدب الصغير ت خلف,37540,,,,,70,partial,11-06-2026 19:48:01 IST,,https://shamela.ws/book/37540,shamela_output/الأدب/الأدب_الصغير_ت_خلف.txt,,,,,,,,,,,,,,,,,,,,,,,,,
الأدب,الأدب والمروءة,17869,,,,,35,partial,11-06-2026 19:48:01 IST,,https://shamela.ws/book/17869,shamela_output/الأدب/الأدب_والمروءة.txt,,,,,,,,,,,,,,,,,,,,,,,,,
الأدب,المفضليات,6904,,,,,121,partial,11-06-2026 19:48:01 IST,,https://shamela.ws/book/6904,shamela_output/الأدب/المفضليات.txt,,,,,,,,,,,,,,,,,,,,,,,,,
الأدب,خطبة واصل بن عطاء - ضمن نوادر المخطوطات,964,,,,,19,partial,11-06-2026 19:48:01 IST,,https://shamela.ws/book/964,shamela_output/الأدب/خطبة_واصل_بن_عطاء_-_ضمن_نوادر_المخطوطات.txt,,,,,,,,,,,,,,,,,,,,,,,,,
الأدب,كليلة ودمنة,26537,,,,,313,partial,11-06-2026 19:48:01 IST,,https://shamela.ws/book/26537,shamela_output/الأدب/كليلة_ودمنة.txt,,,,,,,,,,,,,,,,,,,,,,,,,
التجويد_والقراءات,أخلاق أهل القرآن,10531,,,,,122,partial,11-06-2026 19:48:01 IST,,https://shamela.ws/book/10531,shamela_output/التجويد_والقراءات/أخلاق_أهل_القرآن.txt,,,,,,,,,,,,,,,,,,,,,,,,,
